NFC ;Serial;Helmet;Customer Name;date of manufacture;state
http://www.veldt.xyz/check?serial=MAA316Q;MAA316Q;;;;
http://www.veldt.xyz/check?serial=EAA317Y;EAA317Y;;;;
http://www.veldt.xyz/check?serial=KAA318S;KAA318S;;;;
http://www.veldt.xyz/check?serial=WAA319D;WAA319D;;;;
http://www.veldt.xyz/check?serial=XAA320D;XAA320D;;;;
http://www.veldt.xyz/check?serial=IAA321C;IAA321C;;;;
http://www.veldt.xyz/check?serial=PAA322W;PAA322W;;;;
http://www.veldt.xyz/check?serial=VAA323M;VAA323M;;;;
http://www.veldt.xyz/check?serial=OAA324S;OAA324S;;;;
http://www.veldt.xyz/check?serial=VAA325P;VAA325P;;;;
http://www.veldt.xyz/check?serial=QAA326L;QAA326L;;;;
http://www.veldt.xyz/check?serial=ZAA327S;ZAA327S;;;;
http://www.veldt.xyz/check?serial=VAA328Z;VAA328Z;;;;
http://www.veldt.xyz/check?serial=KAA329B;KAA329B;;;;
http://www.veldt.xyz/check?serial=UAA330U;UAA330U;;;;
http://www.veldt.xyz/check?serial=ZAA331H;ZAA331H;;;;
http://www.veldt.xyz/check?serial=AAA332I;AAA332I;;;;
http://www.veldt.xyz/check?serial=CAA333I;CAA333I;;;;
http://www.veldt.xyz/check?serial=RAA334M;RAA334M;;;;
http://www.veldt.xyz/check?serial=MAA335B;MAA335B;;;;
http://www.veldt.xyz/check?serial=IAA336H;IAA336H;;;;
http://www.veldt.xyz/check?serial=ZAA337Q;ZAA337Q;;;;
http://www.veldt.xyz/check?serial=NAA338Y;NAA338Y;;;;
http://www.veldt.xyz/check?serial=KAA339P;KAA339P;;;;
http://www.veldt.xyz/check?serial=XAA340H;XAA340H;;;;
http://www.veldt.xyz/check?serial=EAA341M;EAA341M;;;;
http://www.veldt.xyz/check?serial=PAA342L;PAA342L;;;;
http://www.veldt.xyz/check?serial=VAA343D;VAA343D;;;;
http://www.veldt.xyz/check?serial=JAA344J;JAA344J;;;;
http://www.veldt.xyz/check?serial=IAA345S;IAA345S;;;;
http://www.veldt.xyz/check?serial=LAA346E;LAA346E;;;;
http://www.veldt.xyz/check?serial=CAA347Z;CAA347Z;;;;
http://www.veldt.xyz/check?serial=HAA348G;HAA348G;;;;
http://www.veldt.xyz/check?serial=RAA349N;RAA349N;;;;
http://www.veldt.xyz/check?serial=CAA350R;CAA350R;;;;
http://www.veldt.xyz/check?serial=RAA351W;RAA351W;;;;
http://www.veldt.xyz/check?serial=NAA352Z;NAA352Z;;;;
http://www.veldt.xyz/check?serial=CAA353O;CAA353O;;;;
http://www.veldt.xyz/check?serial=RAA354F;RAA354F;;;;
http://www.veldt.xyz/check?serial=ZAA355R;ZAA355R;;;;
http://www.veldt.xyz/check?serial=EAA356P;EAA356P;;;;
http://www.veldt.xyz/check?serial=PAA357B;PAA357B;;;;
http://www.veldt.xyz/check?serial=UAA358O;UAA358O;;;;
http://www.veldt.xyz/check?serial=YAA359N;YAA359N;;;;
http://www.veldt.xyz/check?serial=TAA360H;TAA360H;;;;
http://www.veldt.xyz/check?serial=BAA361M;BAA361M;;;;
http://www.veldt.xyz/check?serial=CAA362X;CAA362X;;;;
http://www.veldt.xyz/check?serial=LAA363U;LAA363U;;;;
http://www.veldt.xyz/check?serial=MAA364Y;MAA364Y;;;;
http://www.veldt.xyz/check?serial=MAA365Y;MAA365Y;;;;
http://www.veldt.xyz/check?serial=TAA366N;TAA366N;;;;
http://www.veldt.xyz/check?serial=JAA367X;JAA367X;;;;
http://www.veldt.xyz/check?serial=CAA368B;CAA368B;;;;
